CIK,Fund,Manager,Denomination,CIKs,URL,Fund_zh,Manager_zh,Description,Description_zh,Popularity
2055875,PKO,Paweł Michalik,PKO BP BANKOWY Universal Pension Society JSC,,https://www.pkopte.pl/,,,,,0
1603466,Point72,Steven Cohen,"Point72 Asset Management, L.P.",,https://point72.com/,,,,,0
1837309,Polar Capital,Iain Evans,Polar Capital Holdings Plc,,https://www.polarcapital.co.uk/,,,,,0
1973324,Polymer,Angus Wai,Polymer Capital Management (US) LLC,,https://polymercapital.com/,,,,,0
1350290,Portolan,George McCabe,"Portolan Capital Management, LLC",,https://portolan.com/,,,,,0
1448793,Prime,Liu Yijun,Prime Capital Management Company Limited,,https://primecapitalgphk.com/,,,,,0
1842526,Proem,Greg Pearson,Proem Advisors LLC,,https://www.proemasset.com/,,,,,0
2087977,Pureheart,Zhao Danyang,Pureheart Capital Pte Ltd.,,http://www.pureheartcapital.com/,,,,,0
1929662,Quantum Private,Jim Perkins,"Quantum Private Wealth, LLC ",,https://www.quantumprivatewealth.com/,,,,,0
2055400,Ranmore,Sean Peche,Ranmore Fund Management Ltd,,https://www.ranmore.com/,,,,,0
1566887,Ratan,Nehal Chopra,Ratan Capital Management LP,,,,,,,0
1316622,Redwood,Jonathan Kolatch,"Redwood Capital Management, LLC",,https://www.redwoodcap.com/,,,,,0
1037389,Renaissance,Jim Simons,Renaissance Technologies LLC,,https://www.rentec.com/,,,,,0
1836733,Ribbit,Meyer Malka,"Ribbit Management Company, LLC",,https://www.ribbitcap.com/,,,,,0
2053064,Rovida,Lacey Manz,Rovida Investment Management Ltd,,,,,,,0
1666664,RPg,Matthew Vera,"RPG Investment Advisory, LLC",,https://www.rpgadvisory.com/,,,,,0
1766596,RV,Robert Vinall,RV Capital AG,,https://www.rv-capital.com/,,,,,0
1846544,RWQ,Robert William Quinlan,"RWQ Financial Management Services, Inc.",,https://www.qcapitalsolutions.com/,,,,,0
2036461,S-Bank,Teri Heilala,S-Bank Fund Management Ltd,,https://www.s-pankki.fi/,,,,,0
1857024,Schusterman,Stacy Schusterman,"Schusterman Interests, LLC",,https://www.schusterman.org/,,,,,0
2011556,Scientech,Le Duan,Scientech Research LLC,,https://www.scientechresearch.io/,,,,,0
